               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  51,            0.028573,            0.010555,          0.00073935,             0.96736,             0.98166,             0.98777,              0.6166,            0.027518,           0.0090885,            0.001155,             0.00505,             0.00505,             0.00505
                  52,            0.028349,            0.010865,          0.00081599,             0.96789,             0.97584,             0.98742,             0.61542,            0.027557,           0.0090719,           0.0010091,            0.004951,            0.004951,            0.004951
                  53,            0.028232,            0.010661,          0.00066861,             0.96225,             0.98031,             0.98676,             0.61401,            0.027507,            0.009121,           0.0011665,            0.004852,            0.004852,            0.004852
                  54,            0.027812,            0.010643,          0.00067832,              0.9696,             0.98019,              0.9863,             0.62248,            0.027556,           0.0090906,           0.0010901,            0.004753,            0.004753,            0.004753
                  55,            0.028238,            0.010607,          0.00080826,             0.96583,             0.97995,             0.98703,             0.61722,            0.027775,           0.0090561,           0.0011044,            0.004654,            0.004654,            0.004654
                  56,            0.027723,             0.01057,           0.0007404,             0.96338,              0.9805,             0.98832,             0.61528,            0.027908,           0.0091559,           0.0010713,            0.004555,            0.004555,            0.004555
                  57,            0.027653,            0.010763,          0.00094329,             0.95797,             0.98352,             0.98635,             0.61442,            0.027497,           0.0090672,           0.0010538,            0.004456,            0.004456,            0.004456
                  58,            0.027895,            0.010649,           0.0009464,             0.96184,             0.97875,             0.98687,             0.60823,            0.027414,           0.0091038,           0.0011042,            0.004357,            0.004357,            0.004357
                  59,            0.027426,              0.0106,           0.0007144,             0.95814,              0.9762,             0.98658,             0.61252,            0.027476,           0.0092088,           0.0010917,            0.004258,            0.004258,            0.004258
                  60,            0.027795,            0.010513,          0.00075499,             0.96927,             0.97365,             0.98603,             0.61696,            0.027354,           0.0090255,           0.0011151,            0.004159,            0.004159,            0.004159
                  61,            0.027299,            0.010569,          0.00071814,             0.97522,             0.97535,             0.98872,             0.61344,            0.027652,           0.0090569,          0.00097263,             0.00406,             0.00406,             0.00406
                  62,            0.027441,            0.010496,          0.00082606,              0.9676,             0.97392,             0.98691,             0.61924,            0.027643,           0.0091701,           0.0011436,            0.003961,            0.003961,            0.003961
                  63,              0.0274,            0.010518,          0.00079594,             0.97645,             0.96807,             0.98547,             0.62065,            0.027655,            0.009056,           0.0011752,            0.003862,            0.003862,            0.003862
                  64,            0.027504,            0.010464,          0.00061343,             0.96668,             0.98246,             0.98736,             0.61609,              0.0278,           0.0090322,           0.0010701,            0.003763,            0.003763,            0.003763
                  65,            0.026932,            0.010634,          0.00074398,             0.96961,             0.97774,             0.98773,             0.61375,            0.027378,           0.0090374,           0.0010916,            0.003664,            0.003664,            0.003664
                  66,            0.027193,            0.010254,          0.00074608,             0.96544,             0.98214,             0.98777,             0.61624,            0.027367,            0.008976,           0.0010065,            0.003565,            0.003565,            0.003565
                  67,            0.027064,            0.010499,          0.00065657,             0.97124,             0.97498,             0.98605,             0.61832,            0.027469,           0.0090649,          0.00095823,            0.003466,            0.003466,            0.003466
                  68,            0.027217,              0.0103,          0.00081811,             0.97438,             0.97741,             0.98609,             0.61381,            0.027571,           0.0090224,          0.00097146,            0.003367,            0.003367,            0.003367
                  69,            0.026749,            0.010496,          0.00061303,             0.97111,             0.98186,             0.98697,             0.61979,            0.027398,           0.0089588,          0.00095459,            0.003268,            0.003268,            0.003268
                  70,            0.026922,            0.010123,          0.00049354,             0.97329,             0.97875,             0.98828,              0.6148,            0.027636,           0.0089927,          0.00092539,            0.003169,            0.003169,            0.003169
                  71,            0.027131,            0.010367,          0.00052779,             0.97018,             0.98082,             0.98831,             0.62182,            0.027366,           0.0089567,          0.00091573,             0.00307,             0.00307,             0.00307
                  72,            0.026575,            0.010317,          0.00052069,              0.9679,             0.97759,             0.98863,             0.61865,            0.027277,           0.0090932,          0.00093098,            0.002971,            0.002971,            0.002971
                  73,             0.02679,            0.010387,          0.00049117,             0.97113,             0.97666,             0.98793,             0.62032,            0.027188,           0.0090073,           0.0010477,            0.002872,            0.002872,            0.002872
                  74,            0.026452,            0.010273,           0.0004926,             0.97044,             0.97746,             0.98777,             0.61946,            0.027293,           0.0089697,           0.0010934,            0.002773,            0.002773,            0.002773
                  75,            0.026653,            0.010436,          0.00070872,              0.9722,             0.97801,             0.98763,             0.62177,            0.027407,           0.0090116,            0.001009,            0.002674,            0.002674,            0.002674
                  76,             0.02633,            0.010276,          0.00042779,             0.96457,             0.98223,             0.98898,             0.62118,            0.027346,           0.0090341,          0.00094322,            0.002575,            0.002575,            0.002575
                  77,            0.026313,            0.010216,           0.0003998,             0.96905,             0.97908,             0.98851,             0.62095,            0.027208,           0.0090338,          0.00095863,            0.002476,            0.002476,            0.002476
